wavelength	power
1.203270000000000001e-06	-6.381087519999999813e+01
1.203280000000000065e-06	-6.571590140000000702e+01
1.203289999999999918e-06	-7.253029879999999707e+01
1.203299999999999982e-06	-6.920932779999999696e+01
1.203310000000000046e-06	-6.562846899999999550e+01
1.203319999999999899e-06	-6.733667739999999924e+01
1.203329999999999963e-06	-7.002203520000000481e+01
1.203340000000000027e-06	-6.693644810000000689e+01
1.203350000000000092e-06	-2.100000000000000000e+02
1.203359999999999944e-06	-2.100000000000000000e+02
1.203370000000000008e-06	-7.011681489999999428e+01
1.203380000000000073e-06	-6.524836510000000089e+01
1.203389999999999925e-06	-2.100000000000000000e+02
1.203399999999999989e-06	-6.906830750000000307e+01
1.203410000000000054e-06	-6.660099830000000054e+01
1.203419999999999906e-06	-6.388770139999999742e+01
1.203429999999999970e-06	-6.544901550000000157e+01
1.203440000000000035e-06	-6.533060500000000559e+01
1.203450000000000099e-06	-6.795877520000000516e+01
1.203459999999999952e-06	-2.100000000000000000e+02
1.203470000000000016e-06	-7.023788179999999670e+01
1.203480000000000080e-06	-7.909711660000000677e+01
1.203489999999999933e-06	-6.972342039999999486e+01
1.203499999999999997e-06	-6.884005630000000053e+01
1.203510000000000061e-06	-6.367281710000000317e+01
1.203519999999999914e-06	-6.851135949999999752e+01
1.203529999999999978e-06	-6.958862990000000082e+01
1.203540000000000042e-06	-6.921066849999999704e+01
1.203549999999999895e-06	-2.100000000000000000e+02
1.203559999999999959e-06	-6.723861100000000590e+01
1.203570000000000023e-06	-7.565819740000000593e+01
1.203580000000000088e-06	-7.449449380000000076e+01
1.203589999999999940e-06	-6.668423339999999655e+01
1.203600000000000004e-06	-6.576980159999999387e+01
1.203610000000000069e-06	-6.571427500000000066e+01
1.203619999999999921e-06	-6.990393699999999910e+01
1.203629999999999985e-06	-2.100000000000000000e+02
1.203640000000000050e-06	-6.637943450000000212e+01
1.203649999999999902e-06	-6.755191030000000296e+01
1.203659999999999967e-06	-7.159371269999999754e+01
1.203670000000000031e-06	-7.672008580000000677e+01
1.203680000000000095e-06	-6.751708200000000204e+01
1.203689999999999948e-06	-6.456953640000000405e+01
1.203700000000000012e-06	-2.100000000000000000e+02
1.203710000000000076e-06	-6.808551520000000323e+01
1.203719999999999929e-06	-7.317940249999999480e+01
1.203729999999999993e-06	-7.521950150000000690e+01
1.203740000000000057e-06	-6.696310060000000419e+01
1.203749999999999910e-06	-6.623422949999999787e+01
1.203759999999999974e-06	-2.100000000000000000e+02
1.203770000000000038e-06	-6.990842969999999923e+01
1.203780000000000103e-06	-2.100000000000000000e+02
1.203789999999999955e-06	-2.100000000000000000e+02
1.203800000000000019e-06	-2.100000000000000000e+02
1.203810000000000084e-06	-6.815425380000000644e+01
1.203819999999999936e-06	-6.989583930000000578e+01
1.203830000000000001e-06	-2.100000000000000000e+02
1.203840000000000065e-06	-7.286120270000000687e+01
1.203849999999999917e-06	-6.443104219999999316e+01
1.203859999999999982e-06	-2.100000000000000000e+02
1.203870000000000046e-06	-7.957212119999999800e+01
1.203879999999999898e-06	-6.584444870000000094e+01
1.203889999999999963e-06	-7.155599890000000585e+01
1.203900000000000027e-06	-2.100000000000000000e+02
1.203910000000000091e-06	-6.642520690000000627e+01
1.203919999999999944e-06	-6.698471949999999708e+01
1.203930000000000008e-06	-6.670867119999999773e+01
1.203940000000000072e-06	-6.495336559999999793e+01
1.203949999999999925e-06	-7.123225979999999424e+01
1.203959999999999989e-06	-2.100000000000000000e+02
1.203970000000000053e-06	-8.665574200000000360e+01
1.203979999999999906e-06	-6.497188119999999856e+01
1.203989999999999970e-06	-6.501235830000000249e+01
1.204000000000000034e-06	-6.374750970000000194e+01
1.204010000000000099e-06	-6.382937580000000111e+01
1.204019999999999951e-06	-6.752251139999999907e+01
1.204030000000000016e-06	-6.645985699999999952e+01
1.204040000000000080e-06	-7.315937250000000347e+01
1.204049999999999932e-06	-6.627672560000000601e+01
1.204059999999999997e-06	-6.928817119999999363e+01
1.204070000000000061e-06	-6.671622569999999541e+01
1.204079999999999913e-06	-2.100000000000000000e+02
1.204089999999999978e-06	-7.611071090000000083e+01
1.204100000000000042e-06	-2.100000000000000000e+02
1.204109999999999894e-06	-2.100000000000000000e+02
1.204119999999999959e-06	-7.353539379999999426e+01
1.204130000000000023e-06	-6.614606220000000292e+01
1.204140000000000087e-06	-6.683690819999999633e+01
1.204149999999999940e-06	-6.384504090000000076e+01
1.204160000000000004e-06	-6.496415700000000015e+01
1.204170000000000068e-06	-6.467088839999999550e+01
1.204179999999999921e-06	-7.888222559999999817e+01
1.204189999999999985e-06	-7.124439750000000515e+01
1.204200000000000049e-06	-6.909437619999999924e+01
1.204209999999999902e-06	-2.100000000000000000e+02
1.204219999999999966e-06	-6.616626770000000590e+01
1.204230000000000031e-06	-7.140676910000000532e+01
1.204240000000000095e-06	-6.989919609999999750e+01
1.204249999999999947e-06	-2.100000000000000000e+02
1.204260000000000012e-06	-8.750140310000000454e+01
1.204270000000000076e-06	-6.383493760000000350e+01
1.204279999999999928e-06	-6.519765040000000056e+01
1.204289999999999993e-06	-2.100000000000000000e+02
1.204300000000000057e-06	-6.772949029999999482e+01
1.204309999999999910e-06	-6.445080140000000313e+01
1.204319999999999974e-06	-6.483047320000000013e+01
1.204330000000000038e-06	-6.654467499999999802e+01
1.204340000000000102e-06	-6.855201279999999997e+01
1.204349999999999955e-06	-2.100000000000000000e+02
1.204360000000000019e-06	-6.517018860000000302e+01
1.204370000000000083e-06	-7.458392310000000691e+01
1.204379999999999936e-06	-6.793699859999999546e+01
1.204390000000000000e-06	-6.893596119999999416e+01
1.204400000000000065e-06	-6.614308920000000569e+01
1.204409999999999917e-06	-2.100000000000000000e+02
1.204419999999999981e-06	-6.528273579999999754e+01
1.204430000000000046e-06	-9.315262970000000564e+01
1.204439999999999898e-06	-7.116627099999999473e+01
1.204449999999999962e-06	-6.614268250000000648e+01
1.204460000000000027e-06	-6.744712669999999832e+01
1.204470000000000091e-06	-2.100000000000000000e+02
1.204479999999999943e-06	-6.629749169999999481e+01
1.204490000000000008e-06	-6.889636710000000619e+01
1.204500000000000072e-06	-6.602356310000000406e+01
1.204509999999999925e-06	-2.100000000000000000e+02
1.204519999999999989e-06	-7.768227840000000128e+01
1.204530000000000053e-06	-6.895502369999999814e+01
1.204539999999999906e-06	-6.597936880000000315e+01
1.204549999999999970e-06	-7.560900879999999802e+01
1.204560000000000034e-06	-7.228757720000000120e+01
1.204570000000000098e-06	-6.500224740000000168e+01
1.204579999999999951e-06	-9.129587100000000532e+01
1.204590000000000015e-06	-6.624688290000000279e+01
1.204600000000000080e-06	-2.100000000000000000e+02
1.204609999999999932e-06	-6.600011670000000663e+01
1.204619999999999996e-06	-6.591220049999999731e+01
1.204630000000000061e-06	-7.659099100000000249e+01
1.204639999999999913e-06	-2.100000000000000000e+02
1.204649999999999977e-06	-7.483470619999999940e+01
1.204660000000000042e-06	-6.550247939999999858e+01
1.204669999999999894e-06	-6.686453140000000417e+01
1.204679999999999958e-06	-2.100000000000000000e+02
1.204690000000000023e-06	-2.100000000000000000e+02
1.204700000000000087e-06	-6.742726639999999350e+01
1.204709999999999940e-06	-6.869662820000000636e+01
1.204720000000000004e-06	-6.575012529999999344e+01
1.204730000000000068e-06	-6.405921759999999665e+01
1.204739999999999921e-06	-2.100000000000000000e+02
1.204749999999999985e-06	-6.693640910000000588e+01
1.204760000000000049e-06	-7.214836640000000045e+01
1.204769999999999902e-06	-6.984914630000000102e+01
1.204779999999999966e-06	-2.100000000000000000e+02
1.204790000000000030e-06	-7.048362480000000119e+01
1.204800000000000095e-06	-7.728972389999999848e+01
1.204809999999999947e-06	-6.731069619999999532e+01
1.204820000000000011e-06	-6.589861969999999758e+01
1.204830000000000076e-06	-6.514353749999999366e+01
1.204839999999999928e-06	-6.927339130000000011e+01
1.204849999999999992e-06	-7.572476690000000588e+01
1.204860000000000057e-06	-6.565491249999999468e+01
1.204869999999999909e-06	-6.850543629999999951e+01
1.204879999999999974e-06	-6.516237859999999671e+01
1.204890000000000038e-06	-7.136382020000000637e+01
1.204900000000000102e-06	-7.257053600000000415e+01
1.204909999999999955e-06	-6.556485899999999845e+01
1.204920000000000019e-06	-6.719114729999999724e+01
1.204930000000000083e-06	-7.102878370000000530e+01
1.204939999999999936e-06	-7.155289080000000013e+01
1.204950000000000000e-06	-6.638077810000000056e+01
1.204960000000000064e-06	-6.449728009999999756e+01
1.204969999999999917e-06	-6.801229130000000112e+01
1.204979999999999981e-06	-6.912504319999999325e+01
1.204990000000000045e-06	-6.380912949999999739e+01
1.204999999999999898e-06	-6.825195030000000429e+01
1.205009999999999962e-06	-7.252288280000000498e+01
1.205020000000000026e-06	-7.013960670000000164e+01
1.205030000000000091e-06	-7.764310100000000148e+01
1.205039999999999943e-06	-7.000775849999999423e+01
1.205050000000000007e-06	-6.722150720000000490e+01
1.205060000000000072e-06	-6.750813619999999560e+01
1.205069999999999924e-06	-7.046067469999999844e+01
1.205079999999999989e-06	-6.787418660000000159e+01
1.205090000000000053e-06	-6.743075679999999750e+01
1.205099999999999905e-06	-6.834728669999999795e+01
1.205109999999999970e-06	-2.100000000000000000e+02
1.205120000000000034e-06	-7.311116429999999866e+01
